adres,postcode,type_complex,m2,kamers,prijs,prijstype,link,id
Bellamystraat 44,"3027 RJ,  Rotterdam",Tussenwoning,117 m²,4 kamers,€ 300.000 k.k.,k.k.,https://www.jaap.nl/te-koop/zuid+holland/groot-rijnmond/rotterdam/3027rj/bellamystraat+44/14194427/overzicht?search=/koophuizen/zuid+holland/groot-rijnmond/rotterdam/50+-woonopp/p1,house_result_14194427
Rotterdamse Rijweg 205,"3042 AP,  Rotterdam",Woning,152 m²,6 kamers,€ 649.000 k.k.,k.k.,https://www.jaap.nl/te-koop/zuid+holland/groot-rijnmond/rotterdam/3042ap/rotterdamse+rijweg+205/7808829/overzicht?search=/koophuizen/zuid+holland/groot-rijnmond/rotterdam/50+-woonopp/p1,house_result_7808829
Hoyledesingel 13,"3054 EH,  Rotterdam",Tussenwoning,206 m²,8 kamers,€ 785.000 k.k.,k.k.,https://www.jaap.nl/te-koop/zuid+holland/groot-rijnmond/rotterdam/3054eh/hoyledesingel+13/7803670/overzicht?search=/koophuizen/zuid+holland/groot-rijnmond/rotterdam/50+-woonopp/p1,house_result_7803670
Bloklandstraat 123,"3036 TG,  Rotterdam",Tussenwoning,126 m²,5 kamers,€ 500.000 k.k.,k.k.,https://www.jaap.nl/te-koop/zuid+holland/groot-rijnmond/rotterdam/3036tg/bloklandstraat+123/15753859/overzicht?search=/koophuizen/zuid+holland/groot-rijnmond/rotterdam/50+-woonopp/p1,house_result_15753859
Elsschotstraat 16,"3076 EA,  Rotterdam",Vrijstaande woning,99 m²,4 kamers,€ 599.000 k.k.,k.k.,https://www.jaap.nl/te-koop/zuid+holland/groot-rijnmond/rotterdam/3076ea/elsschotstraat+16/7793976/overzicht?search=/koophuizen/zuid+holland/groot-rijnmond/rotterdam/50+-woonopp/p1,house_result_7793976
Sardiniehof 9,"3059 XJ,  Rotterdam",Tussenwoning,140 m²,5 kamers,€ 450.000 k.k.,k.k.,https://www.jaap.nl/te-koop/zuid+holland/groot-rijnmond/rotterdam/3059xj/sardiniehof+9/11121089/overzicht?search=/koophuizen/zuid+holland/groot-rijnmond/rotterdam/50+-woonopp/p1,house_result_11121089
Slotlaan 29,"3062 PL,  Rotterdam",Twee onder één kap,442 m²,15 kamers,€ 2.500.000 k.k.,k.k.,https://www.jaap.nl/te-koop/zuid+holland/groot-rijnmond/rotterdam/3062pl/slotlaan+29/7802409/overzicht?search=/koophuizen/zuid+holland/groot-rijnmond/rotterdam/50+-woonopp/p1,house_result_7802409
Essenweg 39,"3062 NS,  Rotterdam",Woning,313 m²,9 kamers,€ 1.795.000 k.k.,k.k.,https://www.jaap.nl/te-koop/zuid+holland/groot-rijnmond/rotterdam/3062ns/essenweg+39/8983130/overzicht?search=/koophuizen/zuid+holland/groot-rijnmond/rotterdam/50+-woonopp/p1,house_result_8983130
Socratesstraat 291,"3076 BW,  Rotterdam",Appartement,72 m²,3 kamers,€ 149.500 k.k.,k.k.,https://www.jaap.nl/te-koop/zuid+holland/groot-rijnmond/rotterdam/3076bw/socratesstraat+291/7793181/overzicht?search=/koophuizen/zuid+holland/groot-rijnmond/rotterdam/50+-woonopp/p1,house_result_7793181
Weigelialaan 70,"3053 PP,  Rotterdam",Villa,266 m²,8 kamers,€ 865.000 k.k.,k.k.,https://www.jaap.nl/te-koop/zuid+holland/groot-rijnmond/rotterdam/3053pp/weigelialaan+70/7806675/overzicht?search=/koophuizen/zuid+holland/groot-rijnmond/rotterdam/50+-woonopp/p1,house_result_7806675
