adres,postcode,type,m2,kamers,prijs,prijstype,postcode4,postcode6,prijspm2,Latitude,Longitude,logprijs,kamergrootte,postcode3,m2xm2,type_simpel
Elsschotstraat 16,"3076 EA,  Rotterdam",Vrijstaande woning,99,4,599000,k.k.,3076,3076EA,6050.50505050505,51.8761522125546,4.5162215224589,13.303016877097587,24.75,3070,9801,Huis
Charloisse Lagedijk 689,"3084 LC,  Rotterdam",Vrijstaande woning,328,9,975000,k.k.,3084,3084LC,2972.560975609756,51.8653926889243,4.473722436004,13.790192749979985,36.44444444444444,3080,107584,Huis
S-gravenweg 724 H,"3065 SJ,  Rotterdam",Vrijstaande woning,264,7,1295000,k.k.,3065,3065SJ,4905.30303030303,51.9242280713976,4.5575291637567,14.074021253115776,37.714285714285715,3060,69696,Huis
Bergse Linker Rottekade 26,"3056 LA,  Rotterdam",Vrijstaande woning,134,5,550000,k.k.,3056,3056LA,4104.477611940299,51.9441361585135,4.4871332555565004,13.217673557208654,26.8,3050,17956,Huis
Zuideinde 37,"3059 LH,  Rotterdam",Vrijstaande woning,140,5,849000,k.k.,3059,3059LH,6064.285714285715,51.9913542018231,4.5960478903984,13.651814465293484,28,3050,19600,Huis
Zevenbergsedijkje 60 B,"3079 DR,  Rotterdam",Vrijstaande woning,155,5,699500,k.k.,3079,3079DR,4512.903225806452,51.8739394533135,4.5484950631401,13.458121073087673,31,3070,24025,Huis
Louise de Colignylaan 36,"3062 HC,  Rotterdam",Vrijstaande woning,176,5,1000000,k.k.,3062,3062HC,5681.818181818182,51.9263844870641,4.5200640393448,13.815510557964274,35.2,3060,30976,Huis
Zwijndrechtsestraat 35,"3073 RK,  Rotterdam",Vrijstaande woning,72,3,175000,k.k.,3073,3073RK,2430.5555555555557,51.893487978954,4.5045023776319,12.072541252905651,24,3070,5184,Huis
Overschiese Kleiweg Kavel 1,"3045 LL,  Rotterdam",Vrijstaande woning,185,5,945000,k.k.,3045,3045LL,5108.108108108108,51.9403708041505,4.4499457326503,13.758940206475879,37,3040,34225,Huis
Overschiese Kleiweg Kavel 1,"3045 LL,  Rotterdam",Vrijstaande woning,185,5,945000,k.k.,3045,3045LL,5108.108108108108,51.9403708041505,4.4499457326503,13.758940206475879,37,3040,34225,Huis
's-gravenweg 744,"3065 SJ,  Rotterdam",Vrijstaande woning,200,4,899000,k.k.,3065,3065SJ,4495,51.9242280713976,4.5575291637567,13.709038313453757,50,3060,40000,Huis
's-gravenweg 752,"3065 SK,  Rotterdam",Vrijstaande woning,235,6,1175000,k.k.,3065,3065SK,5e3,51.9247404570932,4.5619161065083,13.976778705560397,39.166666666666664,3060,55225,Huis
Plaswijcklaan 50,"3054 CP,  Rotterdam",Vrijstaande woning,178,5,998000,k.k.,3054,3054CP,5606.741573033708,51.9578509857427,4.4826664836355,13.813508555293602,35.6,3050,31684,Huis
Beekweg 175,"3045 PA,  Rotterdam",Vrijstaande woning,317,9,1225000,k.k.,3045,3045PA,3864.353312302839,51.9446787846416,4.4495863777624,14.018451401960965,35.22222222222222,3040,100489,Huis
Doctor Hekmanstraat 66,"3037 SJ,  Rotterdam",Vrijstaande woning,86,4,299500,,3037,3037SJ,3482.5581395348836,51.9393517396594,4.4780583664145,12.609869696537642,21.5,3030,7396,Huis
Stadhoudersplein 12 A,"3039 EM,  Rotterdam",Vrijstaande woning,115,4,365000,k.k.,3039,3039EM,3173.913043478261,51.9308443981084,4.4626597177654,12.80765263256463,28.75,3030,13225,Huis
Gerrit Verrijstkade 10,"3059 SK,  Rotterdam",Vrijstaande woning,212,7,850000,k.k.,3059,3059SK,4009.433962264151,51.9909900402054,4.5913815291949,13.652991628466498,30.285714285714285,3050,44944,Huis
's-gravenweg 746,"3065 SJ,  Rotterdam",Vrijstaande woning,220,6,925000,k.k.,3065,3065SJ,4204.545454545455,51.9242280713976,4.5575291637567,13.737549016494562,36.666666666666664,3060,48400,Huis
Onderlangs 42,"3062 CK,  Rotterdam",Vrijstaande woning,277,5,1375000,k.k.,3062,3062CK,4963.898916967509,51.9261610830758,4.5315109894778,14.133964289082808,55.4,3060,76729,Huis
's-gravenweg 791,"3065 SC,  Rotterdam",Vrijstaande woning,145,5,799000,k.k.,3065,3065SC,5510.3448275862065,51.9218477377664,4.5506350819245,13.591116224748411,29,3060,21025,Huis
's-gravenweg 790,"3065 SK,  Rotterdam",Vrijstaande woning,137,6,850000,k.k.,3065,3065SK,6204.379562043796,51.9247404570932,4.5619161065083,13.652991628466498,22.833333333333332,3060,18769,Huis
Gerardus van Sillevoldtstraat 15,"3065 LG,  Rotterdam",Vrijstaande woning,155,6,690000,k.k.,3065,3065LG,4451.612903225807,51.9235662095502,4.5551059133702,13.444446876573442,25.833333333333332,3060,24025,Huis
Turfweg 81,"3065 AJ,  Rotterdam",Vrijstaande woning,238,7,997500,k.k.,3065,3065AJ,4191.176470588235,51.9270581579061,4.5409350497928,13.813007427746156,34,3060,56644,Huis
Adrianalaan 349 C,"3053 JA,  Rotterdam",Vrijstaande woning,180,6,699000,k.k.,3053,3053JA,3883.3333333333335,51.9656335121176,4.4671756879077,13.457406021215947,30,3050,32400,Huis
Blokmakersstraat 8,"3025 NH,  Rotterdam",Vrijstaande woning,129,4,400000,k.k.,3025,3025NH,3100.7751937984494,51.9110469285254,4.43787932955,12.89921982609012,32.25,3020,16641,Huis
Gerrit Verrijstkade 36,"3059 SK,  Rotterdam",Vrijstaande woning,262,6,1050000,k.k.,3059,3059SK,4007.6335877862593,51.9909900402054,4.5913815291949,13.864300722133706,43.666666666666664,3050,68644,Huis
Smitshoekseweg 215,"3084 LS,  Rotterdam",Vrijstaande woning,196,5,825000,k.k.,3084,3084LS,4209.183673469388,51.8673713626208,4.481143766806,13.623138665316818,39.2,3080,38416,Huis
Brigadier Aad de Jonghof 1,"3069 RR,  Rotterdam",Vrijstaande woning,220,4,815000,k.k.,3069,3069RR,3704.5454545454545,51.9747937341589,4.5780223442883,13.610943392223,55,3060,48400,Huis
Mohammed Roemhof 3,"3065 RJ,  Rotterdam",Vrijstaande woning,187,7,725000,k.k.,3065,3065RJ,3877.005347593583,51.9298636364212,4.5550726851971,13.493926933836812,26.714285714285715,3060,34969,Huis
S-gravenweg 637,"3065 SC,  Rotterdam",Vrijstaande woning,217,5,1025000,k.k.,3065,3065SC,4723.502304147465,51.9218477377664,4.5506350819245,13.840203170554645,43.4,3060,47089,Huis
S-gravenweg 805 B,"3065 SC,  Rotterdam",Vrijstaande woning,230,5,999000,k.k.,3065,3065SC,4343.478260869565,51.9218477377664,4.5506350819245,13.81451005763069,46,3060,52900,Huis
Ringvaartweg 144 A,"3065 AE,  Rotterdam",Vrijstaande woning,287,5,1150000,v.o.n.,3065,3065AE,4006.968641114983,51.9253187293539,4.5460101969722,13.955272500339433,57.4,3060,82369,Huis
Groeneweg 44,"3059 LC,  Rotterdam",Vrijstaande woning,124,5,645000,k.k.,3059,3059LC,5201.612903225807,51.9844516892276,4.5969997484332,13.37700559577791,24.8,3050,15376,Huis
Noorder Kerkedijk 12,"3078 PA,  Rotterdam",Vrijstaande woning,120,3,317500,k.k.,3078,3078PA,2645.8333333333335,51.8922240825747,4.5471864376932,12.668233097314884,40,3070,14400,Huis
Sardiniehof 9,"3059 XJ,  Rotterdam",Tussenwoning,140,5,450000,k.k.,3059,3059XJ,3214.285714285714,51.9841697166558,4.5848058765722,13.017002861746503,28,3050,19600,Huis
Statenlaan 6,"3051 HN,  Rotterdam",Tussenwoning,276,10,650000,k.k.,3051,3051HN,2355.072463768116,51.9462111571983,4.4826269311122,13.38472764187182,27.6,3050,76176,Huis
Kroonstaddreef 26-28,"3067 RT,  Rotterdam",Tussenwoning,213,7,547000,k.k.,3067,3067RT,2568.075117370892,51.9431394262002,4.5669329082358,13.212204081404119,30.428571428571427,3060,45369,Huis
Kleiweg 79,"3051 GK,  Rotterdam",Tussenwoning,149,5,499000,k.k.,3051,3051GK,3348.993288590604,51.9453209986892,4.4796936528628,13.120361374733656,29.8,3050,22201,Huis
Glinthorst 12,"3085 VJ,  Rotterdam",Tussenwoning,130,5,335000,k.k.,3085,3085VJ,2576.923076923077,51.8770931442718,4.4960894043881,12.721885810807203,26,3080,16900,Huis
Laan van Avant-garde 508,"3059 VA,  Rotterdam",Tussenwoning,145,5,415000,k.k.,3059,3059VA,2862.0689655172414,51.9718317016642,4.5890680009957,12.936033799212835,29,3050,21025,Huis
Benedictuskruid 9,"3068 RL,  Rotterdam",Tussenwoning,112,5,300000,k.k.,3068,3068RL,2678.5714285714284,51.9552824503287,4.5539289963079,12.611537753638338,22.4,3060,12544,Huis
Bonaventurastraat 21,"3081 HA,  Rotterdam",Tussenwoning,148,6,200000,k.k.,3081,3081HA,1351.3513513513512,51.8921433058402,4.4883475574285,12.206072645530174,24.666666666666668,3080,21904,Huis
Bekermos 14,"3069 AJ,  Rotterdam",Tussenwoning,122,5,300000,k.k.,3069,3069AJ,2459.0163934426228,51.9662083201676,4.5546407573264,12.611537753638338,24.4,3060,14884,Huis
Korfoepad 47,"3059 XD,  Rotterdam",Tussenwoning,128,5,375000,k.k.,3059,3059XD,2929.6875,51.9820404000507,4.5850508034325,12.834681304952548,25.6,3050,16384,Huis
Laan van Avant-garde 195,"3059 RA,  Rotterdam",Tussenwoning,113,4,300000,k.k.,3059,3059RA,2654.8672566371683,51.9803899664966,4.5902180623377,12.611537753638338,28.25,3050,12769,Huis
Zevenoord 64,"3079 MG,  Rotterdam",Tussenwoning,115,5,250000,k.k.,3079,3079MG,2173.913043478261,51.8783049712905,4.558248226599,12.429216196844383,23,3070,13225,Huis
