adres,postcode,type,m2,kamers,prijs,prijstype
Elsschotstraat 16,"3076 EA,  Rotterdam",Vrijstaande woning,99 m²,4 kamers,€ 599.000 k.k.,k.k.
Sardiniehof 9,"3059 XJ,  Rotterdam",Tussenwoning,140 m²,5 kamers,€ 450.000 k.k.,k.k.
Slotlaan 29,"3062 PL,  Rotterdam",Twee onder één kap,442 m²,15 kamers,€ 2.500.000 k.k.,k.k.
Essenweg 39,"3062 NS,  Rotterdam",Woning,313 m²,9 kamers,€ 1.795.000 k.k.,k.k.
Weigelialaan 70,"3053 PP,  Rotterdam",Villa,266 m²,8 kamers,€ 865.000 k.k.,k.k.
Bergweg 262,"3035 BS,  Rotterdam",Herenhuis,229 m²,6 kamers,€ 450.000 k.k.,k.k.
Landverhuizersplein 127,"3072 MH,  Rotterdam",Appartement,210 m²,4 kamers,€ 1.495.000 k.k.,k.k.
Proveniersstraat 64,"3033 CM,  Rotterdam",Benedenwoning,267 m²,8 kamers,€ 699.000 k.k.,k.k.
Claes de Vrieselaan 52 Ba 1 & 2,"3021 JR,  Rotterdam",Herenhuis,359 m²,14 kamers,€ 750.000 k.k.,k.k.
Pablo Picassostraat 34,"3059 VK,  Rotterdam",Twee onder één kap,184 m²,6 kamers,€ 669.000 k.k.,k.k.
Oudorpweg 22,"3062 RC,  Rotterdam",Hoekwoning,215 m²,6 kamers,€ 1.350.000 k.k.,k.k.
Charloisse Lagedijk 689,"3084 LC,  Rotterdam",Vrijstaande woning,328 m²,9 kamers,€ 975.000 k.k.,k.k.
Statenlaan 6,"3051 HN,  Rotterdam",Tussenwoning,276 m²,10 kamers,€ 650.000 k.k.,k.k.
Mullerkade 269,"3024 EP,  Rotterdam",Appartement,107 m²,3 kamers,€ 379.500 k.k.,k.k.
Zegenstraat 84,"3082 XZ,  Rotterdam",Hoekwoning,143 m²,5 kamers,€ 335.000 k.k.,k.k.
Kroonstaddreef 26-28,"3067 RT,  Rotterdam",Tussenwoning,213 m²,7 kamers,€ 547.000 k.k.,k.k.
Kuinder 26,"3068 LC,  Rotterdam",Twee onder één kap,173 m²,4 kamers,€ 399.000 k.k.,k.k.
Statenlaan 32,"3051 HR,  Rotterdam",Herenhuis,179 m²,6 kamers,€ 799.000 k.k.,k.k.
Charlie Parkersingel 13,"3069 XR,  Rotterdam",Eengezinswoning,122 m²,5 kamers,€ 249.000 k.k.,k.k.
Terbregseweg 95,"3056 JV,  Rotterdam",Twee onder één kap,147 m²,5 kamers,€ 449.000 k.k.,k.k.
Claes de Vrieselaan 68 Bii,"3021 JS,  Rotterdam",Bovenwoning,121 m²,5 kamers,€ 479.000 k.k.,k.k.
Dordtsestraatweg 601,"3075 BB,  Rotterdam",Hoekwoning,169 m²,7 kamers,€ 450.000 k.k.,k.k.
Kleiweg 79,"3051 GK,  Rotterdam",Tussenwoning,149 m²,5 kamers,€ 499.000 k.k.,k.k.
Laan van Avant-garde 129,"3059 RA,  Rotterdam",Hoekwoning,133 m²,5 kamers,€ 400.000 k.k.,k.k.
's-gravensingel 22,"3062 SB,  Rotterdam",Eengezinswoning,290 m²,4 kamers,€ 985.000 k.k.,k.k.
Glinthorst 12,"3085 VJ,  Rotterdam",Tussenwoning,130 m²,5 kamers,€ 335.000 k.k.,k.k.
Korfoepad 47,"3059 XD,  Rotterdam",Tussenwoning,128 m²,5 kamers,€ 375.000 k.k.,k.k.
Fichtestraat 21,"3076 RA,  Rotterdam",Twee onder één kap,138 m²,5 kamers,€ 375.000 k.k.,k.k.
Laan van Avant-garde 508,"3059 VA,  Rotterdam",Tussenwoning,145 m²,5 kamers,€ 415.000 k.k.,k.k.
Benedictuskruid 9,"3068 RL,  Rotterdam",Tussenwoning,112 m²,5 kamers,€ 300.000 k.k.,k.k.
Heemraadssingel 284 A,"3021 NB,  Rotterdam",Bovenwoning,166 m²,4 kamers,€ 575.000 k.k.,k.k.
Zestienhovensekade 340 A,"3043 KZ,  Rotterdam",Hoekwoning,150 m²,5 kamers,€ 500.000 k.k.,k.k.
Terbregse Rechter Rottekade 278,"3055 XK,  Rotterdam",Woning,64 m²,4 kamers,€ 325.000 k.k.,k.k.
Bonaventurastraat 21,"3081 HA,  Rotterdam",Tussenwoning,148 m²,6 kamers,€ 200.000 k.k.,k.k.
Waalstraat 30,"3087 BP,  Rotterdam",Hoekwoning,271 m²,7 kamers,€ 675.000 k.k.,k.k.
S-gravenweg 724 H,"3065 SJ,  Rotterdam",Vrijstaande woning,264 m²,7 kamers,€ 1.295.000 k.k.,k.k.
Bekermos 14,"3069 AJ,  Rotterdam",Tussenwoning,122 m²,5 kamers,€ 300.000 k.k.,k.k.
Kraaiheide 46,"3069 LC,  Rotterdam",Hoekwoning,142 m²,5 kamers,€ 385.000 k.k.,k.k.
Laan van Avant-garde 195,"3059 RA,  Rotterdam",Tussenwoning,113 m²,4 kamers,€ 300.000 k.k.,k.k.
Jef Laststraat 8,"3059 TP,  Rotterdam",Woning,236 m²,7 kamers,€ 639.000 k.k.,k.k.
Elandstraat 14,"3064 AH,  Rotterdam",Tussenwoning,124 m²,6 kamers,€ 225.000 k.k.,k.k.
Zevenoord 64,"3079 MG,  Rotterdam",Tussenwoning,115 m²,5 kamers,€ 250.000 k.k.,k.k.
Kleiweg 115 A,"3051 GL,  Rotterdam",Bovenwoning,149 m²,6 kamers,€ 439.000 k.k.,k.k.
S-gravendijkwal 39,"3021 EC,  Rotterdam",Woning,389 m²,8 kamers,€ 895.000 k.k.,k.k.
Boergoensevliet 90,"3082 KW,  Rotterdam",Twee onder één kap,115 m²,4 kamers,€ 289.000 k.k.,k.k.
Marius Richtersstraat 64,"3059 TH,  Rotterdam",Hoekwoning,150 m²,6 kamers,€ 497.500 k.k.,k.k.
Philips Willemstraat 28 A&b,"3051 PR,  Rotterdam",Woning,169 m²,6 kamers,€ 525.000 k.k.,k.k.
Zebrastraat 34,"3064 LS,  Rotterdam",Woning,100 m²,5 kamers,€ 225.000 k.k.,k.k.
